id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
32,10.9,0.58,0.49,2.4,0.104,14.0,28.0,0.9984,3.24,0.78,10.0,5.0
33,9.9,0.42,0.24,2.0,0.08,10.0,49.0,0.9976,3.12,0.64,9.9,5.0
34,8.1,0.43,0.22,2.2,0.0969999999999999,14.0,31.0,0.9976,3.17,0.62,9.9,5.0
35,6.7,0.5,0.0,1.4,0.08,5.0,15.0,0.99498,3.51,0.63,10.5,6.0
36,7.7,0.34,0.54,1.9,0.073,27.0,65.0,0.99655,3.33,0.55,9.8,5.0
37,9.2,0.24,0.49,7.7,0.077,6.0,18.0,0.99734,3.28,0.71,11.5,6.0
38,7.8,0.27,0.49,1.8,0.086,18.0,38.0,0.9983,3.42,0.53,9.5,5.0
39,8.3,0.6,0.48,1.9,0.1,3.0,11.0,0.99604,3.17,0.6,10.2,6.0
40,7.9,0.57,0.07,1.9,0.077,9.0,31.0,0.9976,3.34,0.53,9.5,5.0
41,8.0,0.49,0.5,2.2,0.093,5.0,31.0,0.9972,3.41,0.57,9.6,5.0
42,8.2,0.54,0.36,2.2,0.084,23.0,53.0,0.9988,3.18,0.58,10.0,7.0
43,7.0,0.31,0.34,2.6,0.079,12.0,28.0,0.99586,3.37,0.73,9.6,6.0
44,9.1,0.62,0.29,3.0,0.07,6.0,29.0,0.9987,3.38,0.53,12.5,5.0
45,9.8,0.3,0.49,2.5,0.075,6.0,15.0,0.99522,3.08,0.6,10.0,6.0
46,7.5,0.36,0.32,2.9,0.075,12.0,24.0,0.997,3.24,0.64,9.2,5.0
47,7.3,0.51,0.21,2.0,0.0819999999999999,18.0,28.0,0.9965,3.34,0.56,9.4,5.0
48,9.4,0.28,0.42,2.0,0.074,5.0,62.0,0.9978,3.08,0.73,9.5,6.0
49,7.2,0.725,0.0,2.1,0.071,18.0,28.0,0.9969,3.28,0.87,9.5,5.0
50,6.4,0.6,0.02,2.6,0.079,7.0,16.0,0.999,3.36,0.61,10.2,6.0
51,9.2,0.49,0.49,2.1,0.068,5.0,8.0,0.99332,3.36,0.61,12.3,6.0
52,8.9,0.59,0.12,1.8,0.076,6.0,13.0,0.9982,3.52,0.56,9.3,6.0
53,9.0,0.43,0.29,2.0,0.076,3.0,14.0,0.99694,3.16,0.67,12.4,6.0
54,9.2,0.34,0.44,2.3,0.084,20.0,104.0,0.9978,3.15,0.62,9.4,5.0
55,7.7,0.48,0.24,2.3,0.076,21.0,98.0,0.9956,3.34,0.72,9.7,7.0
56,8.6,0.56,0.23,2.0,0.079,13.0,28.0,0.99744,3.27,0.57,9.7,5.0
57,10.0,0.59,0.23,2.6,0.076,24.0,77.0,1.0004,3.26,0.53,9.5,5.0
58,7.2,0.32,0.09,1.7,0.094,19.0,58.0,0.99774,3.47,0.51,10.2,6.0
59,7.3,0.66,0.01,1.4,0.084,13.0,47.0,0.9976,3.2,0.6,10.0,6.0
60,7.0,0.6,0.14,2.3,0.078,28.0,60.0,0.9991,3.47,0.74,9.4,6.0
61,8.3,0.31,0.41,2.1,0.076,3.0,14.0,0.9955,3.3,0.74,9.4,5.0
62,8.3,0.31,0.41,2.4,0.081,25.0,104.0,0.99588,3.29,0.74,12.6,7.0
63,10.5,0.31,0.46,2.1,0.086,6.0,16.0,0.9974,3.2,0.85,9.5,6.0
64,9.1,0.39,0.39,2.3,0.074,11.0,67.0,0.99606,3.37,0.72,10.0,6.0
65,9.2,0.39,0.36,1.8,0.063,24.0,42.0,0.99557,3.14,0.63,10.9,6.0
66,7.3,0.52,0.18,2.0,0.076,9.0,27.0,0.9973,3.32,0.64,9.6,6.0
67,12.4,0.5,0.49,2.0,0.079,21.0,52.0,0.9987,3.19,0.72,9.7,5.0
68,7.8,0.58,0.0,1.9,0.1159999999999999,10.0,21.0,0.9972,3.5,0.65,9.7,6.0
69,7.8,0.24,0.49,2.0,0.086,10.0,22.0,0.9962,3.4,0.68,9.3,5.0
70,7.5,0.64,0.26,1.2,0.074,27.0,52.0,0.9987,3.37,0.65,11.5,6.0
71,6.9,0.48,0.18,2.5,0.074,15.0,28.0,0.9974,3.51,0.77,9.9,8.0
72,7.2,0.54,0.12,2.0,0.068,17.0,89.0,0.9976,3.24,0.59,9.8,3.0
73,6.6,0.41,0.31,2.7,0.0819999999999999,21.0,65.0,0.99552,3.22,0.58,9.6,6.0
74,9.2,0.37,0.39,2.0,0.063,12.0,49.0,0.9988,3.4,0.62,10.4,5.0
75,9.8,0.715,0.0,2.0,0.062,5.0,14.0,0.99632,3.2,0.79,10.8,6.0
76,11.4,0.24,0.47,2.1,0.086,7.0,21.0,0.99572,3.18,0.53,9.5,6.0
77,7.4,0.51,0.07,2.4,0.066,5.0,14.0,0.9964,3.14,0.57,9.6,5.0
78,11.3,0.32,0.66,1.8,0.064,5.0,10.0,0.99418,3.1,0.84,9.5,5.0
79,8.0,0.74,0.33,2.5,0.072,6.0,14.0,0.9972,3.28,0.6,9.4,5.0
80,6.6,0.58,0.02,1.8,0.079,16.0,62.0,0.9959,3.51,0.66,9.8,6.0
81,9.3,0.31,0.53,2.0,0.067,5.0,15.0,0.99717,3.19,0.61,9.8,6.0
82,7.2,0.58,0.06,2.5,0.076,29.0,66.0,0.9976,3.39,0.53,9.6,5.0
83,7.8,0.48,0.22,2.4,0.084,14.0,44.0,0.9961,3.14,0.57,9.2,5.0
84,7.0,0.41,0.0,1.5,0.073,17.0,41.0,0.9968,3.44,0.59,10.2,5.0
85,7.7,0.36,0.26,2.1,0.077,27.0,62.0,0.9994,3.56,0.54,10.1,7.0
86,9.1,0.44,0.24,1.8,0.078,24.0,48.0,0.9974,3.29,0.62,12.6,7.0
87,8.2,0.32,0.23,1.9,0.066,24.0,136.0,0.9963,3.37,0.53,9.2,5.0
88,11.5,0.28,0.58,2.5,0.075,15.0,37.0,0.99656,3.28,0.69,11.6,6.0
89,6.6,0.54,0.03,2.1,0.065,7.0,24.0,0.99352,3.61,0.73,11.5,6.0
90,8.9,0.5,0.04,2.6,0.09,6.0,31.0,0.9956,3.27,0.62,10.1,6.0
91,9.4,0.54,0.5,2.1,0.072,34.0,141.0,0.9942,3.36,0.54,9.9,5.0
92,7.6,0.62,0.19,2.2,0.074,19.0,119.0,0.9964,3.36,0.51,9.3,5.0
93,7.2,0.48,0.26,2.3,0.08,33.0,68.0,0.99534,3.32,0.61,9.2,5.0
94,7.5,0.64,0.0,2.1,0.084,10.0,38.0,0.99502,3.63,0.56,9.2,6.0
95,10.2,0.5,0.49,1.7,0.0819999999999999,24.0,45.0,0.9987,3.39,0.47,10.9,7.0
96,8.5,0.39,0.45,2.2,0.088,12.0,58.0,0.9978,3.22,0.58,9.9,5.0
97,7.9,0.62,0.08,2.0,0.077,5.0,9.0,0.9956,3.33,0.6,9.9,6.0
98,12.8,0.37,0.49,2.0,0.077,6.0,28.0,1.00289,3.09,0.86,11.4,6.0
99,7.9,0.735,0.0,2.0,0.0819999999999999,19.0,32.0,0.99576,3.15,0.57,10.2,4.0
100,7.9,0.33,0.42,2.3,0.078,8.0,16.0,0.9988,3.43,0.59,11.2,4.0
101,9.9,0.38,0.51,1.7,0.073,14.0,88.0,0.9964,3.37,0.58,9.8,5.0
102,7.2,0.61,0.08,1.8,0.08,13.0,49.0,0.99462,3.38,0.52,10.4,6.0
103,10.6,0.6,0.24,2.8,0.084,14.0,32.0,0.9997,3.3,0.58,11.0,8.0
104,8.7,0.63,0.0,1.9,0.066,14.0,64.0,0.99392,3.2,0.62,9.3,6.0
105,6.6,0.57,0.03,2.1,0.086,6.0,19.0,0.9947,3.36,0.6,11.2,7.0
106,7.0,0.955,0.17,2.1,0.064,6.0,21.0,0.9964,3.28,0.53,10.3,5.0
107,9.1,0.42,0.3,2.2,0.0969999999999999,10.0,21.0,0.99768,3.15,0.56,9.6,5.0
108,11.4,0.48,0.61,2.2,0.075,6.0,20.0,1.0003,3.17,0.55,10.5,5.0
109,8.9,0.36,0.12,2.1,0.086,21.0,84.0,0.9966,3.17,0.48,9.5,5.0
110,11.6,0.43,0.41,3.0,0.078,11.0,48.0,0.99572,3.23,0.78,12.4,8.0
111,7.7,0.41,0.01,4.3,0.072,6.0,14.0,0.99568,3.39,0.54,12.2,7.0
112,7.5,0.66,0.02,1.7,0.083,12.0,50.0,0.9986,3.37,0.65,9.4,6.0
113,8.3,0.635,0.0,2.4,0.064,8.0,24.0,0.9956,3.29,0.56,10.0,7.0
114,7.8,0.6,0.0,1.8,0.074,6.0,22.0,0.99538,3.35,0.57,11.0,5.0
115,8.8,0.61,0.02,1.7,0.066,15.0,28.0,0.9947,3.26,0.68,10.8,6.0
116,6.8,0.39,0.35,2.5,0.07,7.0,27.0,0.9976,3.49,0.72,11.0,7.0
117,8.9,0.27,0.47,2.2,0.0819999999999999,38.0,55.0,0.99668,3.32,0.59,9.7,5.0
118,8.3,0.4,0.31,2.6,0.08,17.0,51.0,0.9962,3.32,0.74,9.9,6.0
119,7.4,0.73,0.05,1.8,0.074,15.0,28.0,0.9984,3.42,0.66,9.4,6.0
120,7.2,0.31,0.44,1.5,0.073,34.0,72.0,0.99682,3.24,0.52,9.5,5.0
121,8.0,0.49,0.28,2.0,0.084,16.0,58.0,0.9968,3.28,0.63,9.5,6.0
122,11.5,0.31,0.68,1.8,0.067,10.0,43.0,1.00242,3.1,0.44,9.7,5.0
123,11.6,0.26,0.57,2.0,0.093,29.0,58.0,0.9972,3.21,0.52,10.4,8.0
124,7.5,0.67,0.03,1.6,0.078,5.0,14.0,0.99419,3.39,0.64,12.0,7.0
125,6.4,0.7,0.03,1.8,0.0819999999999999,15.0,42.0,0.99708,3.51,0.57,9.5,5.0
126,7.7,0.58,0.23,1.8,0.084,14.0,64.0,0.9984,3.44,0.56,9.6,5.0
127,8.1,0.45,0.24,1.9,0.079,12.0,45.0,0.9962,3.3,0.57,9.2,6.0
128,7.0,0.69,0.02,2.1,0.077,17.0,40.0,0.9988,3.36,0.52,9.3,6.0
129,8.5,0.52,0.22,2.0,0.074,6.0,14.0,0.9964,3.17,0.58,9.5,5.0
130,9.3,0.32,0.31,1.8,0.068,6.0,15.0,0.9964,3.29,0.63,11.9,6.0
131,7.2,0.735,0.0,2.1,0.073,5.0,11.0,0.9986,3.38,0.56,9.4,5.0
132,7.3,0.53,0.03,2.4,0.078,32.0,54.0,0.99652,3.44,0.62,9.8,5.0
133,7.7,0.5,0.17,1.8,0.074,9.0,28.0,0.9962,3.19,0.63,9.3,6.0
134,7.3,0.3,0.31,1.6,0.068,6.0,10.0,0.99745,3.22,0.49,10.0,6.0
135,7.9,0.54,0.31,2.2,0.087,16.0,94.0,0.9959,3.32,0.58,9.5,6.0
136,6.9,0.61,0.03,4.5,0.061,4.0,12.0,0.9971,3.44,0.59,11.0,6.0
137,7.6,0.53,0.02,1.6,0.0819999999999999,13.0,31.0,0.9982,3.39,0.49,9.2,5.0
138,8.4,0.42,0.34,1.8,0.079,9.0,23.0,0.99733,3.25,0.77,11.4,7.0
139,8.0,0.39,0.39,2.2,0.067,27.0,45.0,0.99557,3.24,0.64,11.4,6.0
140,6.6,0.56,0.04,2.8,0.084,10.0,18.0,0.99632,3.54,0.6,10.0,6.0
141,10.2,0.5,0.44,2.8,0.0819999999999999,6.0,18.0,0.99444,3.26,0.87,10.0,5.0
142,6.9,0.68,0.0,1.4,0.078,12.0,24.0,0.996,3.39,0.68,11.8,6.0
143,8.0,0.49,0.24,2.0,0.08,18.0,38.0,0.9978,3.31,0.62,9.5,5.0
144,8.2,0.69,0.0,1.8,0.0819999999999999,5.0,12.0,0.9972,3.47,0.79,9.4,6.0
145,9.3,0.32,0.34,1.9,0.093,9.0,28.0,0.9973,3.29,0.75,10.4,6.0
146,7.7,0.6,0.03,2.2,0.068,18.0,24.0,0.9964,3.41,0.44,11.0,7.0
147,8.8,0.3,0.3,2.3,0.072,26.0,48.0,0.9973,3.32,0.77,10.5,6.0
148,7.2,0.645,0.05,2.2,0.08,15.0,59.0,0.9962,3.41,0.49,9.8,5.0
149,7.5,0.715,0.08,2.0,0.074,18.0,86.0,0.995,3.39,0.61,9.5,5.0
150,8.1,0.31,0.36,2.1,0.073,33.0,61.0,0.997,3.15,0.52,9.2,5.0
151,9.0,0.77,0.23,4.0,0.078,21.0,71.0,0.9971,3.32,0.48,10.0,6.0
152,8.4,0.43,0.29,2.6,0.08,24.0,67.0,0.9964,3.16,0.64,9.5,5.0
153,8.8,0.34,0.34,2.2,0.084,6.0,12.0,0.9981,3.2,0.56,10.1,6.0
154,7.2,0.28,0.24,2.1,0.073,9.0,28.0,0.9981,3.47,0.6,9.5,5.0
155,7.6,0.41,0.31,1.7,0.077,6.0,14.0,0.9971,3.38,0.68,9.8,5.0
156,10.3,0.36,0.53,2.4,0.0819999999999999,14.0,38.0,0.9986,3.21,0.93,11.8,6.0
157,8.5,0.43,0.34,2.6,0.078,9.0,27.0,0.9962,3.26,0.57,9.8,5.0
158,5.3,0.39,0.4,2.3,0.048,14.0,26.0,0.99612,3.23,0.55,11.5,7.0
159,6.4,0.4,0.0,2.3,0.064,16.0,59.0,0.9956,3.33,0.56,9.7,5.0
160,6.7,0.74,0.0,2.1,0.0819999999999999,9.0,27.0,0.9976,3.26,0.57,9.4,6.0
161,10.6,0.24,0.66,1.7,0.091,5.0,15.0,0.99786,3.42,0.55,12.0,6.0
162,7.7,0.41,0.39,2.1,0.0969999999999999,5.0,8.0,0.99612,3.37,0.84,9.5,6.0
163,7.1,0.43,0.27,2.3,0.089,10.0,37.0,0.9965,3.47,0.48,9.5,5.0
164,11.5,0.34,0.3,2.0,0.086,10.0,23.0,0.9968,3.3,0.54,9.5,5.0
165,9.1,0.57,0.41,1.9,0.071,8.0,44.0,0.9978,3.21,0.8,10.0,5.0
166,12.7,0.52,0.49,2.2,0.081,14.0,65.0,0.9982,3.21,0.57,9.4,6.0
167,8.0,0.56,0.4,2.6,0.077,3.0,8.0,0.9994,3.34,0.44,9.0,6.0
168,8.9,0.26,0.43,2.0,0.0819999999999999,6.0,14.0,0.99704,3.26,0.67,10.9,4.0
169,10.4,0.3,0.45,4.1,0.077,6.0,16.0,0.9972,3.22,0.6,11.4,6.0
170,7.9,0.45,0.32,1.9,0.073,18.0,35.0,0.9964,3.24,0.75,10.0,7.0
171,7.2,0.6,0.02,1.7,0.064,7.0,17.0,0.99476,3.42,0.68,10.9,6.0
172,8.1,0.7,0.22,2.6,0.078,5.0,20.0,0.9971,3.07,0.55,11.7,7.0
173,8.1,0.55,0.14,2.2,0.073,14.0,25.0,0.99552,3.35,0.62,11.1,7.0
174,6.9,0.55,0.28,2.2,0.0559999999999999,5.0,13.0,0.9981,3.3,0.49,12.3,6.0
175,6.7,0.645,0.0,2.3,0.079,10.0,23.0,0.99498,3.53,0.56,9.6,6.0
176,12.5,0.41,0.49,2.0,0.0969999999999999,10.0,27.0,0.9973,3.34,0.68,9.4,6.0
177,10.5,0.49,0.49,2.3,0.091,5.0,13.0,0.99736,3.22,0.62,11.0,7.0
178,7.7,0.42,0.32,2.2,0.0819999999999999,10.0,27.0,0.9976,3.44,0.59,9.3,6.0
179,9.5,0.42,0.32,2.2,0.0819999999999999,26.0,63.0,0.9961,3.41,0.78,12.5,7.0
180,7.0,0.3,0.24,2.2,0.066,31.0,51.0,0.99531,3.39,0.78,10.0,6.0
181,8.7,0.59,0.0,1.7,0.08,41.0,53.0,0.99498,3.47,0.47,9.4,6.0
182,8.3,0.43,0.29,1.9,0.07,5.0,13.0,0.9969,3.2,0.56,9.2,5.0
183,8.9,0.28,0.49,2.7,0.088,27.0,42.0,0.99693,3.3,0.66,11.0,6.0
184,7.4,0.48,0.01,1.9,0.066,6.0,28.0,0.9972,3.31,0.58,9.3,5.0
185,6.2,0.4,0.55,2.0,0.073,3.0,10.0,0.9982,3.32,0.76,12.0,7.0
186,11.7,0.37,0.58,2.3,0.0559999999999999,4.0,12.0,0.9967,3.04,0.6,9.5,5.0
187,7.9,0.59,0.1,2.6,0.074,19.0,49.0,0.9981,3.34,0.58,9.7,6.0
188,7.7,0.29,0.42,2.1,0.084,14.0,38.0,0.99633,3.3,0.72,10.0,6.0
189,9.7,0.47,0.49,1.9,0.078,10.0,28.0,0.9994,3.3,0.62,9.7,5.0
190,7.8,0.45,0.12,1.8,0.083,12.0,20.0,0.99656,3.22,0.58,9.2,5.0
191,8.4,0.44,0.5,1.7,0.066,5.0,12.0,0.9988,3.14,0.6,11.4,5.0
192,7.1,0.61,0.24,2.8,0.077,13.0,27.0,0.9986,3.34,0.63,9.0,5.0
193,6.7,0.645,0.07,2.4,0.064,6.0,18.0,0.99768,3.49,0.58,10.3,6.0
194,6.4,0.39,0.31,2.8,0.075,29.0,53.0,0.9991,3.33,0.66,9.5,5.0
195,7.8,0.685,0.05,2.2,0.071,6.0,13.0,0.9972,3.32,0.59,10.8,5.0
196,7.6,0.46,0.51,2.3,0.089,21.0,59.0,0.9978,3.28,0.69,9.5,5.0
197,9.2,0.46,0.24,1.7,0.105,6.0,19.0,0.9988,3.31,0.62,9.6,5.0
198,8.1,0.24,0.3,2.0,0.0969999999999999,21.0,46.0,0.9988,3.4,0.49,9.8,5.0
199,8.0,0.27,0.27,2.6,0.098,16.0,86.0,0.9974,3.33,0.71,9.8,5.0
200,7.4,0.6,0.07,2.0,0.085,15.0,37.0,0.99689,3.36,0.54,10.7,6.0
201,8.2,0.32,0.48,2.1,0.084,35.0,112.0,0.9972,3.32,0.56,10.0,6.0
202,8.9,0.5,0.42,2.3,0.081,9.0,28.0,0.9967,3.17,0.66,9.4,5.0
203,10.1,0.42,0.39,2.2,0.078,5.0,10.0,0.99538,3.26,0.53,10.3,6.0
204,7.8,0.52,0.02,2.1,0.078,18.0,38.0,0.9964,3.52,0.48,10.2,5.0
205,9.0,0.4,0.42,2.1,0.065,16.0,28.0,0.9974,3.1,0.8,9.5,5.0
206,7.2,0.6,0.03,1.9,0.09,14.0,27.0,0.9972,3.2,0.55,11.3,6.0
207,7.4,0.51,0.0,2.0,0.075,4.0,13.0,0.99525,3.38,0.61,10.0,5.0
208,10.8,0.46,0.49,2.1,0.077,9.0,23.0,0.9964,3.25,0.54,11.9,6.0
209,7.8,0.4,0.24,2.2,0.077,9.0,17.0,0.99656,3.13,0.59,9.5,5.0
210,8.3,0.38,0.49,1.6,0.095,13.0,45.0,0.9982,3.14,0.78,9.3,5.0
211,8.4,0.28,0.45,2.3,0.074,17.0,60.0,0.9988,3.27,0.72,9.7,5.0
212,7.0,0.59,0.02,1.9,0.084,12.0,47.0,0.9956,3.32,0.56,9.4,6.0
213,10.0,0.31,0.66,2.4,0.109,19.0,47.0,0.9972,3.17,0.73,9.5,6.0
214,7.8,0.59,0.02,1.8,0.0819999999999999,10.0,25.0,0.99694,3.35,0.47,9.4,5.0
215,10.2,0.31,0.39,2.0,0.084,12.0,49.0,0.9994,3.3,0.62,10.0,6.0
216,6.1,0.63,0.02,2.6,0.071,12.0,24.0,0.99576,3.39,0.53,12.1,7.0
217,7.7,0.49,0.32,1.6,0.077,7.0,15.0,0.99818,3.33,0.69,9.4,6.0
218,8.2,0.55,0.03,1.8,0.083,7.0,25.0,0.99572,3.36,0.56,10.5,5.0
219,7.2,0.57,0.02,1.6,0.077,10.0,22.0,0.99685,3.53,0.52,9.5,5.0
220,8.3,0.39,0.12,1.9,0.074,14.0,65.0,0.9968,3.32,0.59,9.3,6.0
221,7.8,0.4,0.0,1.7,0.071,11.0,28.0,0.99576,3.52,0.61,10.8,5.0
222,8.1,0.42,0.27,1.9,0.0819999999999999,18.0,33.0,0.99562,3.28,0.61,10.8,5.0
223,7.3,0.46,0.35,1.9,0.086,14.0,66.0,0.9987,3.18,0.59,9.5,5.0
224,6.3,0.51,0.03,2.2,0.077,16.0,43.0,0.9955,3.48,0.57,11.5,7.0
225,8.6,0.69,0.08,2.7,0.038,19.0,66.0,0.9982,3.51,0.55,9.4,5.0
226,8.2,0.36,0.24,2.3,0.079,9.0,27.0,0.9974,3.2,0.57,9.6,6.0
227,8.9,0.46,0.42,2.1,0.078,14.0,59.0,0.9973,3.09,0.6,9.5,5.0
228,7.4,0.69,0.07,2.4,0.068,17.0,58.0,0.99648,3.08,0.52,9.4,6.0
229,10.2,0.53,0.32,2.1,0.075,17.0,61.0,0.9983,3.15,0.77,10.1,7.0
230,8.6,0.41,0.21,1.8,0.075,5.0,13.0,0.99534,3.31,0.49,10.7,6.0
231,7.9,0.59,0.0,1.7,0.075,16.0,38.0,0.99572,3.39,0.73,9.6,5.0
232,8.0,0.47,0.23,2.0,0.075,15.0,61.0,0.99621,3.21,0.53,10.1,6.0
233,9.0,0.36,0.34,1.9,0.0819999999999999,9.0,28.0,0.9968,3.38,0.8,9.5,5.0
234,7.7,0.43,0.3,2.1,0.077,18.0,43.0,0.99652,3.44,0.59,9.7,5.0
235,7.7,0.51,0.04,1.9,0.08,16.0,41.0,0.99531,3.44,0.62,11.0,5.0
236,6.7,0.6,0.05,1.8,0.075,6.0,14.0,0.9984,3.28,0.68,9.3,4.0
237,7.4,0.5,0.31,2.4,0.078,9.0,23.0,0.99494,3.28,0.6,10.1,6.0
238,8.5,0.725,0.2,1.9,0.071,21.0,86.0,0.9964,3.35,0.49,9.5,5.0
239,11.1,0.38,0.49,3.5,0.091,13.0,33.0,0.9976,3.19,0.7,10.7,6.0
240,7.9,0.39,0.51,2.8,0.076,6.0,13.0,0.99786,3.37,0.59,10.9,5.0
241,7.7,0.5,0.02,1.7,0.0819999999999999,10.0,18.0,0.99622,3.56,0.62,10.5,6.0
242,8.3,0.69,0.14,2.2,0.0819999999999999,20.0,47.0,0.99572,3.38,0.6,9.2,5.0
243,8.2,0.62,0.28,2.0,0.078,26.0,51.0,0.99606,3.36,0.88,11.5,7.0
244,6.6,0.6,0.02,2.0,0.073,18.0,37.0,0.9948,3.54,0.6,11.4,7.0
245,7.0,0.6,0.26,1.8,0.078,21.0,77.0,0.9976,3.22,0.59,9.5,5.0
246,7.2,0.6,0.13,2.3,0.081,3.0,15.0,0.9976,3.46,0.53,9.4,6.0
247,11.9,0.39,0.46,3.0,0.07,15.0,22.0,0.9981,3.32,0.56,9.5,5.0
248,7.0,0.3,0.3,2.7,0.078,6.0,20.0,0.9952,3.3,0.64,9.2,5.0
249,9.4,0.35,0.42,2.0,0.0579999999999999,6.0,16.0,0.9972,3.32,0.63,9.5,6.0
250,7.8,0.38,0.39,2.2,0.074,21.0,28.0,0.99714,3.35,0.57,9.8,5.0
251,7.9,0.39,0.39,1.8,0.081,5.0,15.0,0.9978,3.3,0.66,9.4,5.0
252,9.2,0.38,0.51,2.3,0.075,12.0,20.0,0.9985,3.14,0.82,10.1,5.0
253,9.0,0.58,0.27,2.0,0.079,16.0,66.0,0.9986,3.26,0.57,9.4,5.0
254,7.7,0.43,0.24,2.6,0.077,26.0,51.0,0.99668,3.36,0.64,9.4,5.0
255,7.4,0.67,0.0,2.1,0.079,7.0,32.0,0.9968,3.32,0.58,9.4,5.0
256,7.0,0.6,0.08,2.2,0.0969999999999999,17.0,50.0,0.9988,3.3,0.72,9.4,5.0
257,8.9,0.66,0.0,2.0,0.084,5.0,31.0,0.9984,3.38,0.6,10.0,7.0
258,6.8,0.36,0.0,1.8,0.074,14.0,35.0,0.99586,3.48,0.63,10.5,5.0
259,7.2,0.64,0.08,1.8,0.083,20.0,47.0,0.99693,3.33,0.59,10.2,6.0
260,8.3,0.36,0.42,2.3,0.079,6.0,21.0,0.99603,3.27,0.54,9.8,5.0
261,10.0,0.37,0.44,2.3,0.107,10.0,17.0,0.99604,3.22,0.85,11.4,6.0
262,8.6,0.42,0.49,2.0,0.077,36.0,121.0,0.99388,3.22,0.62,9.6,6.0
263,10.3,0.74,0.54,2.0,0.08,6.0,21.0,0.9986,3.3,0.53,9.3,5.0
264,7.5,0.5,0.0,1.9,0.084,15.0,60.0,0.9982,3.31,0.6,9.9,5.0
265,7.1,0.655,0.02,2.0,0.072,6.0,27.0,0.9998,4.01,0.59,10.1,5.0
266,9.3,0.38,0.44,2.6,0.087,16.0,31.0,0.9982,3.31,0.6,10.6,6.0
267,8.6,0.33,0.61,1.8,0.086,5.0,13.0,0.9986,3.26,0.65,10.1,7.0
